material_id,Origin,quantity,month
10202843,EU,123727,Dec
10205067,EU,16418,Dec
10205282,EU,19078,Dec
10206804,EU,1408,Dec
10213717,EU,40231,Dec
10213870,EU,17345,Dec
10215082,EU,15556,Dec
10223975,EU,17421,Dec
10224493,EU,10584,Dec
10224564,EU,802,Dec
10224590,EU,9381,Dec
10225861,EU,54554,Dec
10225862,EU,354967,Dec
10238111,EU,13202,Dec
10240140,EU,1600,Dec
10240151,EU,9600,Dec
10240181,EU,9600,Dec
10240591,EU,2887,Dec
10240596,EU,1575,Dec
10242244,EU,30226,Dec
10242459,EU,197757,Dec
10250464,EU,54716,Dec
10252750,EU,10129,Dec
4413,US,3455,Dec
8527,US,12,Dec
11105,US,14400,Dec
13057,US,193704,Dec
16482,US,16128,Dec
10166249,US,20736,Dec
10168622,US,6481,Dec
10168623,US,2160,Dec
10172336,US,58800,Dec
10199637,US,10440,Dec
10202777,US,766,Dec
10207683,US,600,Dec
10210044,US,14952,Dec
10210048,US,3276,Dec
10213754,US,800,Dec
10215080,US,1202,Dec
10224493,US,3780,Dec
10224526,US,1260,Dec
10224564,US,126,Dec
10224590,US,3780,Dec
10224626,US,2520,Dec
10226039,US,28080,Dec
10230900,US,448,Dec
10231583,US,2520,Dec
10231651,US,3570,Dec
10235845,US,26208,Dec
10235846,US,10080,Dec
10238111,US,1938,Dec
10247692,US,14400,Dec
10248405,US,2520,Dec
10252222,US,2880,Dec
10252750,US,4032,Dec
11003059,US,22176,Dec
10191864,EU,4208,Jan
10192742,EU,3155,Jan
10193224,EU,6000,Jan
10193329,EU,4545,Jan
10202777,EU,951,Jan
10202843,EU,48345,Jan
10203082,EU,7308,Jan
10205067,EU,38039,Jan
10205282,EU,25841,Jan
10207835,EU,9002,Jan
10207836,EU,2430,Jan
10208357,EU,899,Jan
10213717,EU,44245,Jan
10213754,EU,1365,Jan
10213870,EU,5705,Jan
10215080,EU,402,Jan
10215082,EU,13881,Jan
10224564,EU,5001,Jan
10224626,EU,6007,Jan
10225098,EU,3742,Jan
10225862,EU,194151,Jan
10231583,EU,88507,Jan
10238111,EU,2226,Jan
10240181,EU,6400,Jan
10240591,EU,1512,Jan
10240596,EU,5006,Jan
10242244,EU,45301,Jan
10242459,EU,161905,Jan
10242662,EU,611,Jan
10250464,EU,47294,Jan
10252222,EU,2160,Jan
10252750,EU,1524,Jan
4413,US,1152,Jan
11105,US,5760,Jan
13057,US,264000,Jan
10166249,US,24192,Jan
10168622,US,4321,Jan
10172336,US,2016,Jan
10196713,US,6000,Jan
10199637,US,6960,Jan
10202938,US,696,Jan
10207683,US,2880,Jan
10210044,US,20160,Jan
10210048,US,672,Jan
10224493,US,7560,Jan
10224564,US,7,Jan
10224626,US,756,Jan
10226039,US,18967,Jan
10231651,US,5040,Jan
10235845,US,2016,Jan
10235846,US,2016,Jan
10247692,US,17280,Jan
11003059,US,12096,Jan
